,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Price,Change,Volume
0,1,A,35.81B,0.74%,12.60%,24.80%,16.90%,2.40,1.70,0.47,0.47,54.60%,24.00%,19.20%,May 23/a,121.13,-0.08%,3939930
1,2,AAL,10.87B,-,-,-,5.20%,0.70,0.60,-,-,59.10%,-,-,Apr 27/b,16.48,-1.02%,22625167
2,3,AAPL,2925.70B,0.52%,27.60%,165.70%,58.30%,0.90,0.90,1.56,1.76,43.20%,29.20%,24.50%,May 04/a,184.92,-0.59%,95747006
3,4,ABBV,239.75B,4.27%,5.40%,49.30%,20.50%,1.00,0.80,4.47,4.68,71.00%,28.50%,13.30%,Apr 27/b,138.64,2.02%,14593437
4,5,ABC,36.83B,1.06%,2.80%,-,34.50%,0.90,0.50,16.57,17.51,3.40%,0.90%,0.70%,May 02/b,183.01,0.62%,2000327
5,6,ABEV,49.75B,4.66%,10.70%,17.20%,23.20%,1.00,0.60,0.03,0.04,49.70%,24.40%,18.00%,-,3.09,-1.28%,20356797
6,7,ABNB,81.75B,-,11.40%,37.50%,22.60%,1.50,1.50,0.38,0.38,69.50%,20.70%,23.30%,May 09/a,128.68,0.65%,6883826
7,8,ABT,182.62B,1.92%,7.90%,15.90%,13.00%,1.70,1.20,0.39,0.46,55.50%,16.80%,14.00%,Apr 19/b,106.2,1.12%,10012623
8,9,ACGL,26.13B,-,4.10%,16.40%,8.90%,-,-,0.21,0.21,-,18.40%,18.30%,Apr 26/a,71.16,1.44%,3296161
9,10,ACGLN,26.50B,5.79%,-,-,-,-,-,-,-,-,-,-,-,19.63,-0.10%,28769
10,11,ACI,12.19B,2.25%,4.30%,44.50%,17.90%,0.70,0.20,4.86,5.53,28.00%,3.00%,1.60%,Apr 11/b,21.37,0.61%,13976210
11,12,ACM,12.00B,0.83%,3.30%,14.80%,10.90%,1.10,1.10,0.83,0.85,6.50%,5.30%,2.70%,May 08/a,86.67,0.42%,2080228
12,13,ACN,204.47B,1.40%,14.70%,30.80%,31.90%,1.30,1.30,0.00,0.00,32.10%,14.70%,11.00%,Jun 22/b,319.54,-1.31%,5259178
13,14,ADBE,225.18B,-,17.80%,33.60%,26.70%,1.10,1.10,0.26,0.26,87.80%,33.10%,25.80%,Jun 15/a,495.18,0.87%,13324076
14,15,ADI,95.10B,1.83%,7.20%,10.00%,6.80%,1.80,1.20,0.18,0.19,65.70%,33.10%,28.20%,May 24/b,188.36,-0.69%,6886920
15,16,ADM,40.61B,2.38%,7.50%,18.30%,9.80%,1.50,0.90,0.31,0.42,7.60%,4.20%,4.40%,Apr 25/b,75.48,1.23%,5522403
16,17,ADP,91.29B,2.26%,5.80%,104.50%,47.10%,1.00,1.00,0.81,0.81,44.40%,24.20%,18.50%,Apr 26/b,221.32,0.16%,3335514
17,18,ADSK,47.32B,-,9.50%,90.90%,25.30%,0.70,0.70,2.54,0.00,90.40%,19.40%,16.40%,May 25/a,213.5,-3.58%,3287110
18,19,AEE,22.05B,3.00%,2.90%,10.50%,5.20%,0.70,0.50,1.34,1.46,70.10%,18.90%,13.30%,May 05/b,84.08,0.13%,2812984
19,20,AEG,10.29B,6.99%,-0.60%,-14.40%,-,-,-,0.48,0.48,-,-,-,-,4.79,-2.44%,1361677
20,21,AEM,24.80B,3.14%,9.50%,13.90%,4.70%,2.30,1.10,0.12,0.13,56.20%,26.20%,40.10%,Apr 27/a,51.0,1.15%,3136496
21,22,AEP,43.70B,3.91%,2.20%,8.30%,5.40%,0.60,0.50,1.52,1.80,63.00%,16.20%,10.10%,May 04/b,84.93,0.06%,5314597
22,23,AER,14.63B,-,2.40%,10.90%,0.90%,-,-,2.89,2.89,87.60%,45.50%,25.20%,May 02/b,61.2,-0.67%,1192506
23,24,AES,14.38B,3.11%,-1.30%,-26.00%,2.20%,1.10,1.00,14.83,16.29,20.10%,6.60%,-3.90%,May 05/b,21.34,-0.70%,12276062
24,25,AESC,14.28B,8.28%,-,-,-,-,-,-,-,-,-,-,-,83.04,-0.29%,49825
25,26,AFL,42.15B,2.42%,3.30%,19.30%,16.10%,-,-,0.37,0.37,-,25.60%,22.90%,Apr 26/a,69.43,-0.47%,5584958
26,27,AGR,14.98B,4.55%,1.70%,3.50%,2.90%,0.70,0.60,0.42,0.51,67.40%,9.90%,8.20%,Apr 25/a,38.66,-0.18%,893338
27,28,AIG,40.98B,2.51%,1.10%,14.40%,17.80%,-,-,0.56,0.61,-,18.30%,11.70%,May 04/a,57.3,1.20%,10315800
28,29,AJG,45.76B,1.03%,2.90%,12.80%,9.20%,1.10,1.10,0.61,0.70,44.90%,18.80%,13.20%,Apr 27/a,213.78,0.07%,1553878
29,30,AKAM,14.01B,-,6.10%,11.80%,8.30%,2.00,2.00,0.55,0.00,61.10%,17.40%,13.80%,May 09/a,91.5,-0.62%,3710643
30,31,ALB,27.10B,0.70%,24.80%,49.00%,18.60%,1.90,1.00,0.35,0.35,44.50%,37.10%,41.90%,May 03/a,228.17,-1.19%,2347804
31,32,ALC,39.97B,-,-,-,-,-,-,-,-,-,-,-,May 09/a,81.27,0.47%,929124
32,33,ALGN,25.50B,-,5.30%,8.80%,11.20%,1.20,1.00,0.00,0.00,69.80%,15.60%,8.50%,Apr 26/a,330.29,-0.87%,1257852
33,34,ALL,29.06B,3.20%,-2.40%,-14.70%,-5.80%,-,-,0.54,0.54,-,-5.80%,-4.50%,May 03/a,111.17,0.57%,3777524
34,35,ALLE,10.46B,1.52%,12.40%,55.00%,17.20%,1.90,1.20,2.02,2.04,41.00%,18.20%,14.10%,Apr 26/b,118.43,-0.43%,2881474
35,36,ALNY,25.20B,-,-30.90%,-,-100.80%,3.80,3.60,-,-,83.60%,-75.60%,-93.10%,May 04/b,201.57,-0.38%,847459
36,37,AMAT,117.66B,0.92%,23.60%,50.10%,38.00%,2.30,1.50,0.39,0.41,46.30%,29.30%,24.40%,May 18/a,138.93,-0.84%,8842976
37,38,AMCR,15.13B,4.73%,5.60%,23.40%,8.90%,1.30,0.70,1.60,1.65,18.70%,9.60%,6.50%,May 02/a,10.35,0.68%,19427395
38,39,AMD,200.07B,-,0.60%,0.70%,2.40%,2.40,1.70,0.05,0.00,44.00%,0.80%,1.70%,May 02/a,120.08,-3.35%,81648013
39,40,AME,36.11B,0.64%,9.70%,16.30%,12.50%,1.80,1.10,0.28,0.29,35.10%,24.70%,19.00%,May 02/b,155.91,-0.50%,1748880
40,41,AMGN,122.06B,3.71%,11.40%,210.00%,20.60%,3.10,2.80,11.36,11.52,75.10%,35.00%,30.20%,Apr 27/a,229.66,0.53%,6760699
41,42,AMH,12.78B,2.49%,2.60%,4.80%,1.50%,-,-,0.64,0.64,55.40%,11.10%,20.30%,May 04/a,35.4,0.28%,4753384
