,No.,Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
0,1,A,35.81B,296.00M,294.19M,0.30%,0.00%,90.70%,-3.26%,1.47%,2.25,1.93M,121.13,-0.08%,3939930
1,2,AAL,10.87B,652.00M,642.23M,0.10%,-14.35%,55.50%,1.45%,10.02%,2.61,24.66M,16.48,-1.02%,22625167
2,3,AAPL,2925.70B,15.79B,15.71B,0.07%,-4.36%,60.10%,-0.46%,0.75%,2.01,58.59M,184.92,-0.59%,95747006
3,4,ABBV,239.75B,1.77B,1.76B,0.13%,-11.62%,70.90%,0.11%,0.65%,1.94,5.86M,138.64,2.02%,14593437
4,5,ABC,36.83B,202.32M,162.29M,0.20%,-48.82%,72.40%,0.01%,3.03%,4.07,1.21M,183.01,0.62%,2000327
5,6,ABEV,49.75B,15.74B,4.41B,-,-,18.10%,2.13%,0.60%,1.64,16.03M,3.09,-1.28%,20356797
6,7,ABNB,81.75B,634.00M,392.44M,3.20%,-25.91%,64.30%,-1.19%,6.21%,3.8,6.41M,128.68,0.65%,6883826
7,8,ABT,182.62B,1.74B,1.73B,0.40%,-1.11%,76.20%,0.27%,0.78%,2.64,5.09M,106.2,1.12%,10012623
8,9,ACGL,26.13B,367.30M,358.48M,0.90%,-11.83%,90.70%,-0.11%,1.16%,2.16,1.93M,71.16,1.44%,3296161
9,10,ACGLN,26.50B,20.00M,-,-,-,-,-,-,0.71,89.89K,19.63,-0.10%,28769
10,11,ACI,12.19B,539.80M,313.67M,0.50%,-3.34%,68.40%,3.31%,4.68%,3.2,4.59M,21.37,0.61%,13976210
11,12,ACM,12.00B,138.93M,137.72M,0.10%,-55.01%,87.90%,-0.85%,1.23%,1.89,898.52K,86.67,0.42%,2080228
12,13,ACN,204.47B,630.85M,620.40M,0.10%,-9.45%,75.40%,1.20%,1.32%,2.96,2.77M,319.54,-1.31%,5259178
13,14,ADBE,225.18B,459.00M,457.38M,0.29%,-2.72%,84.10%,-0.72%,1.35%,1.7,3.63M,495.18,0.87%,13324076
14,15,ADI,95.10B,504.71M,494.70M,0.37%,-6.81%,89.30%,0.22%,1.29%,1.85,3.45M,188.36,-0.69%,6886920
15,16,ADM,40.61B,550.00M,542.29M,0.20%,0.00%,81.80%,-1.07%,1.01%,1.98,2.78M,75.48,1.23%,5522403
16,17,ADP,91.29B,413.70M,410.16M,0.10%,-29.98%,81.90%,0.80%,1.33%,2.95,1.85M,221.32,0.16%,3335514
17,18,ADSK,47.32B,215.00M,213.45M,0.10%,-6.04%,95.00%,1.98%,1.40%,2.09,1.43M,213.5,-3.58%,3287110
18,19,AEE,22.05B,262.20M,257.49M,0.20%,-19.25%,80.00%,-1.65%,1.43%,2.81,1.30M,84.08,0.13%,2812984
19,20,AEG,10.29B,2.00B,1.86B,10.10%,0.00%,9.90%,-0.68%,0.11%,1.12,1.91M,4.79,-2.44%,1361677
20,21,AEM,24.80B,468.97M,454.02M,0.20%,0.00%,78.10%,2.19%,2.11%,3.25,2.95M,51.0,1.15%,3136496
21,22,AEP,43.70B,514.18M,513.70M,0.03%,-33.61%,75.70%,0.33%,1.25%,2.35,2.74M,84.93,0.06%,5314597
22,23,AER,14.63B,239.37M,235.16M,2.60%,0.00%,86.01%,-0.78%,0.83%,1.71,1.14M,61.2,-0.67%,1192506
23,24,AES,14.38B,712.00M,665.70M,0.38%,-22.57%,97.40%,0.33%,2.28%,2.65,5.73M,21.34,-0.70%,12276062
24,25,AESC,14.28B,10.00M,10.00M,-,-,102.00%,-,0.18%,0.44,41.89K,83.04,-0.29%,49825
25,26,AFL,42.15B,611.21M,563.18M,0.10%,-20.30%,60.60%,-0.90%,1.95%,4.61,2.39M,69.43,-0.47%,5584958
26,27,AGR,14.98B,386.75M,70.75M,81.70%,0.00%,13.20%,-2.73%,6.41%,7.55,600.85K,38.66,-0.18%,893338
27,28,AIG,40.98B,738.66M,716.51M,0.32%,0.00%,92.00%,-3.16%,0.90%,1.39,4.64M,57.3,1.20%,10315800
28,29,AJG,45.76B,212.80M,208.85M,0.30%,-16.65%,87.20%,1.90%,0.89%,2.0,925.90K,213.78,0.07%,1553878
29,30,AKAM,14.01B,155.64M,149.34M,0.10%,-16.89%,95.40%,-1.95%,6.93%,6.93,1.49M,91.5,-0.62%,3710643
30,31,ALB,27.10B,117.23M,116.97M,0.10%,0.23%,85.80%,1.69%,5.52%,2.81,2.29M,228.17,-1.19%,2347804
31,32,ALC,39.97B,491.80M,-,0.06%,0.00%,60.30%,-,-,3.78,1.20M,81.27,0.47%,929124
32,33,ALGN,25.50B,76.92M,73.17M,0.30%,4.76%,89.30%,-1.36%,3.56%,3.48,748.32K,330.29,-0.87%,1257852
33,34,ALL,29.06B,263.50M,261.27M,0.62%,-5.26%,81.50%,1.16%,1.08%,1.41,2.00M,111.17,0.57%,3777524
34,35,ALLE,10.46B,88.00M,87.40M,0.10%,-2.51%,97.60%,1.69%,2.58%,2.77,814.69K,118.43,-0.43%,2881474
35,36,ALNY,25.20B,124.11M,122.39M,0.10%,-26.48%,97.20%,0.96%,4.13%,7.44,679.25K,201.57,-0.38%,847459
36,37,AMAT,117.66B,843.00M,834.39M,0.35%,-1.47%,79.90%,0.75%,1.55%,2.12,6.08M,138.93,-0.84%,8842976
37,38,AMCR,15.13B,1.47B,1.45B,0.20%,0.00%,48.50%,-0.82%,1.80%,3.33,7.86M,10.35,0.68%,19427395
38,39,AMD,200.07B,1.61B,1.61B,0.50%,-8.68%,70.70%,3.14%,2.27%,0.52,69.71M,120.08,-3.35%,81648013
39,40,AME,36.11B,230.13M,228.54M,0.30%,-3.79%,89.00%,0.85%,0.68%,1.53,1.02M,155.91,-0.50%,1748880
40,41,AMGN,122.06B,534.00M,532.96M,0.22%,0.00%,79.10%,-1.49%,1.39%,3.17,2.34M,229.66,0.53%,6760699
41,42,AMH,12.78B,360.35M,307.69M,2.70%,-1.22%,92.20%,-2.95%,2.81%,3.73,2.32M,35.4,0.28%,4753384
42,43,AMP,33.92B,107.90M,103.95M,0.20%,-29.12%,85.20%,-1.43%,1.24%,2.03,636.30K,325.0,-0.18%,936930
43,44,AMT,90.54B,465.74M,464.37M,0.10%,-4.11%,93.20%,-0.39%,0.88%,2.03,2.01M,192.89,-0.71%,3281162
44,45,AMX,70.29B,3.32B,3.14B,-,-,8.70%,-2.36%,0.14%,3.77,1.18M,22.02,-0.90%,1114980
45,46,AMZN,1304.19B,10.25B,9.26B,9.80%,-0.02%,60.10%,0.60%,0.81%,1.2,62.51M,125.49,-1.27%,83469181
46,47,ANET,50.39B,306.99M,234.12M,0.10%,-65.88%,67.90%,1.37%,2.76%,1.95,3.30M,157.79,-3.47%,4497419
47,48,ANSS,29.19B,86.93M,86.36M,0.10%,-46.74%,96.30%,-0.36%,0.98%,1.81,467.47K,334.37,-0.72%,886679
48,49,AON,67.62B,206.10M,189.53M,0.10%,-28.27%,89.60%,-1.51%,1.10%,2.46,848.83K,329.38,-0.51%,1463286
49,50,AOS,10.61B,150.90M,123.72M,0.81%,-4.68%,98.17%,0.60%,4.23%,4.83,1.08M,71.0,0.69%,1763806
50,51,APA,10.70B,311.00M,308.44M,0.43%,0.00%,82.40%,-3.48%,3.67%,1.86,6.09M,34.38,-0.84%,9091358
51,52,APD,64.59B,222.30M,220.96M,0.30%,-0.07%,85.40%,1.12%,0.92%,2.32,871.93K,293.17,0.83%,1809753
52,53,APH,48.74B,595.10M,591.63M,0.58%,-22.35%,96.80%,0.04%,0.96%,1.95,2.92M,82.15,0.34%,3715840
53,54,APLS,10.43B,113.87M,93.52M,1.50%,-15.39%,89.80%,1.78%,12.15%,7.26,1.57M,89.27,-0.37%,2001521
54,55,APO,43.91B,584.12M,328.86M,2.10%,-22.35%,56.10%,-0.68%,3.00%,3.78,2.62M,77.08,-0.40%,4105090
55,56,APTV,27.40B,271.01M,269.86M,0.20%,-12.09%,98.70%,1.67%,2.60%,3.31,2.12M,101.44,0.16%,3239850
56,57,ARCC,10.17B,544.58M,537.77M,1.38%,0.28%,31.45%,-,3.58%,6.31,3.05M,18.68,0.16%,8978360
