,No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
0,1,A,4.61%,-5.20%,-9.05%,-21.76%,4.00%,-19.06%,2.18%,2.35%,2.00,1.93M,2.05,121.13,-0.08%,3939930
1,2,AAL,5.84%,10.53%,17.88%,23.45%,23.82%,29.56%,2.25%,2.82%,2.90,24.66M,0.92,16.48,-1.02%,22625167
2,3,AAPL,2.19%,7.08%,19.30%,29.13%,36.54%,42.32%,1.36%,1.50%,2.00,58.59M,1.63,184.92,-0.59%,95747006
3,4,ABBV,0.33%,-3.29%,-10.10%,-15.90%,0.40%,-14.21%,1.62%,1.76%,2.40,5.86M,2.49,138.64,2.02%,14593437
4,5,ABC,2.69%,4.70%,20.39%,10.73%,28.60%,10.44%,1.60%,1.84%,2.10,1.21M,1.65,183.01,0.62%,2000327
5,6,ABEV,-0.32%,6.19%,14.87%,8.42%,21.65%,13.60%,2.30%,2.23%,2.50,16.03M,1.27,3.09,-1.28%,20356797
6,7,ABNB,9.18%,18.79%,8.91%,37.00%,26.82%,50.50%,3.33%,3.59%,2.60,6.41M,1.07,128.68,0.65%,6883826
7,8,ABT,4.44%,-2.41%,9.47%,-4.55%,1.34%,-3.27%,1.36%,1.46%,2.10,5.09M,1.97,106.2,1.12%,10012623
8,9,ACGL,-0.39%,-2.57%,12.68%,17.97%,61.76%,13.35%,1.75%,2.03%,1.80,1.93M,1.71,71.16,1.44%,3296161
9,10,ACGLN,-0.03%,-3.82%,2.51%,3.81%,3.64%,13.67%,2.13%,1.55%,-,89.89K,0.32,19.63,-0.10%,28769
10,11,ACI,2.69%,5.84%,9.59%,2.64%,-0.81%,3.04%,1.43%,1.29%,2.60,4.59M,3.05,21.37,0.61%,13976210
11,12,ACM,3.71%,8.53%,5.23%,1.94%,34.46%,2.05%,1.76%,1.89%,1.60,898.52K,2.32,86.67,0.42%,2080228
12,13,ACN,3.50%,12.27%,27.82%,9.64%,13.64%,19.75%,2.04%,2.09%,2.10,2.77M,1.9,319.54,-1.31%,5259178
13,14,ADBE,9.07%,38.85%,38.26%,45.68%,31.38%,47.14%,4.02%,3.33%,2.20,3.63M,3.67,495.18,0.87%,13324076
14,15,ADI,3.23%,0.21%,1.35%,9.72%,25.51%,14.83%,1.80%,2.61%,2.00,3.45M,1.99,188.36,-0.69%,6886920
15,16,ADM,4.05%,3.33%,1.64%,-18.66%,-8.26%,-18.71%,2.31%,2.22%,2.20,2.78M,1.99,75.48,1.23%,5522403
16,17,ADP,2.83%,3.44%,3.80%,-14.90%,6.84%,-7.34%,1.94%,1.51%,3.00,1.85M,1.81,221.32,0.16%,3335514
17,18,ADSK,6.01%,7.58%,7.23%,6.72%,20.82%,14.25%,3.70%,3.19%,2.10,1.43M,2.31,213.5,-3.58%,3287110
18,19,AEE,0.86%,0.90%,-1.11%,-6.36%,0.98%,-5.44%,1.51%,1.69%,2.20,1.30M,2.16,84.08,0.13%,2812984
19,20,AEG,-0.83%,2.35%,16.83%,-2.84%,1.05%,-4.96%,1.43%,1.45%,2.50,1.91M,0.71,4.79,-2.44%,1361677
20,21,AEM,0.06%,-7.46%,0.31%,-3.08%,3.62%,-1.90%,2.37%,2.39%,1.80,2.95M,1.06,51.0,1.15%,3136496
21,22,AEP,1.49%,-2.46%,-6.36%,-13.77%,-6.31%,-10.55%,1.22%,1.69%,2.50,2.74M,1.94,84.93,0.06%,5314597
22,23,AER,2.70%,3.20%,20.64%,3.40%,49.74%,4.94%,1.94%,2.27%,1.60,1.14M,1.05,61.2,-0.67%,1192506
23,24,AES,6.22%,1.86%,-4.69%,-27.02%,9.16%,-25.80%,2.74%,2.47%,1.90,5.73M,2.14,21.34,-0.70%,12276062
24,25,AESC,5.32%,1.86%,-2.80%,-19.49%,0.62%,-18.60%,1.73%,1.53%,-,41.89K,1.19,83.04,-0.29%,49825
25,26,AFL,0.67%,4.89%,13.28%,-1.36%,28.03%,-3.49%,1.94%,1.59%,2.70,2.39M,2.34,69.43,-0.47%,5584958
26,27,AGR,1.39%,-0.31%,-2.25%,-11.19%,-11.47%,-10.05%,1.51%,1.79%,3.30,600.85K,1.49,38.66,-0.18%,893338
27,28,AIG,0.74%,6.62%,21.30%,-8.55%,10.09%,-9.39%,2.74%,2.32%,2.10,4.64M,2.22,57.3,1.20%,10315800
28,29,AJG,3.34%,-0.58%,18.77%,10.70%,39.95%,13.39%,1.84%,1.56%,1.90,925.90K,1.68,213.78,0.07%,1553878
29,30,AKAM,-1.06%,5.45%,24.30%,2.99%,0.51%,8.54%,1.42%,1.49%,2.70,1.49M,2.48,91.5,-0.62%,3710643
30,31,ALB,3.48%,9.70%,9.44%,-7.94%,6.09%,5.22%,3.11%,3.37%,2.20,2.29M,1.02,228.17,-1.19%,2347804
31,32,ALC,2.82%,1.14%,24.27%,14.16%,22.23%,18.56%,1.18%,1.32%,2.00,1.20M,0.78,81.27,0.47%,929124
32,33,ALGN,8.49%,13.36%,2.94%,68.68%,35.49%,56.61%,3.74%,3.34%,2.20,748.32K,1.68,330.29,-0.87%,1257852
33,34,ALL,-0.71%,-6.58%,5.77%,-14.42%,-8.63%,-18.02%,1.91%,2.00%,2.20,2.00M,1.89,111.17,0.57%,3777524
34,35,ALLE,5.13%,8.60%,14.62%,7.89%,17.62%,12.51%,2.48%,2.23%,2.50,814.69K,3.54,118.43,-0.43%,2881474
35,36,ALNY,5.63%,4.32%,8.69%,-13.83%,48.82%,-15.18%,2.55%,2.48%,1.90,679.25K,1.25,201.57,-0.38%,847459
36,37,AMAT,2.06%,10.53%,13.32%,26.71%,42.61%,42.67%,2.31%,2.64%,2.10,6.08M,1.45,138.93,-0.84%,8842976
37,38,AMCR,3.40%,0.98%,-3.27%,-17.07%,-14.46%,-13.10%,1.50%,1.76%,2.90,7.86M,2.47,10.35,0.68%,19427395
