,No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
0,1,A,35.81B,26.67,19.80,2.29,5.09,6.20,-,38.67,6.10%,9.02%,14.80%,11.66%,8.90%,121.13,-0.08%,3939930
1,2,AAL,10.87B,6.24,5.09,-,0.21,-,0.95,-,106.30%,11.19%,-46.10%,-,2.80%,16.48,-1.02%,22625167
2,3,AAPL,2925.70B,31.42,28.20,3.95,7.60,46.93,52.36,35.44,8.90%,9.78%,21.60%,7.96%,11.50%,184.92,-0.59%,95747006
3,4,ABBV,239.75B,32.71,12.52,-,4.23,18.49,35.67,17.97,2.70%,0.98%,13.30%,-4.10%,15.50%,138.64,2.02%,14593437
4,5,ABC,36.83B,23.51,14.40,2.96,0.15,131.66,-,17.95,8.90%,7.20%,37.40%,7.95%,9.30%,183.01,0.62%,2000327
5,6,ABEV,49.75B,16.01,16.26,2.25,2.93,2.76,19.02,-,14.20%,11.80%,14.70%,7.10%,10.70%,3.09,-1.28%,20356797
6,7,ABNB,81.75B,42.88,32.08,2.28,9.39,15.41,7.72,21.57,588.10%,16.09%,91.50%,18.80%,26.80%,128.68,0.65%,6883826
7,8,ABT,182.62B,32.19,22.99,-,4.40,5.00,19.16,52.84,-0.60%,5.05%,30.50%,-2.70%,9.80%,106.2,1.12%,10012623
8,9,ACGL,26.13B,13.71,10.38,0.76,2.44,1.99,32.54,6.26,-27.30%,9.45%,22.00%,17.95%,11.60%,71.16,1.44%,3296161
9,10,ACGLN,26.50B,4.18,-,-,2.44,0.55,-,-,-,-,-,-,-,19.63,-0.10%,28769
10,11,ACI,12.19B,9.49,7.49,1.19,0.16,7.17,26.75,11.51,-16.10%,2.07%,29.60%,8.00%,5.30%,21.37,0.61%,13976210
11,12,ACM,12.00B,28.58,19.79,2.03,0.89,4.64,11.18,29.53,38.50%,18.38%,5.00%,14.06%,-6.30%,86.67,0.42%,2080228
12,13,ACN,204.47B,29.41,25.42,3.27,3.24,8.48,32.75,31.63,17.00%,8.37%,14.50%,9.00%,11.20%,319.54,-1.31%,5259178
13,14,ADBE,225.18B,47.28,27.87,3.36,12.22,16.00,39.83,30.45,0.70%,13.31%,24.50%,14.07%,19.20%,495.18,0.87%,13324076
14,15,ADI,95.10B,26.69,18.66,4.47,7.39,2.64,80.76,40.46,51.60%,-4.09%,18.10%,5.97%,18.00%,188.36,-0.69%,6886920
15,16,ADM,40.61B,9.47,11.46,-,0.40,1.67,45.17,56.09,61.30%,-4.41%,29.40%,-0.60%,10.80%,75.48,1.23%,5522403
16,17,ADP,91.29B,28.27,24.77,2.07,5.17,24.78,49.22,59.30,15.40%,9.38%,12.00%,13.68%,5.90%,221.32,0.16%,3335514
17,18,ADSK,47.32B,55.38,25.50,3.85,9.27,51.20,22.21,20.44,68.60%,14.92%,48.50%,14.38%,19.50%,213.5,-3.58%,3287110
18,19,AEE,22.05B,20.16,17.96,3.42,2.71,2.08,2205.17,-,7.70%,7.19%,8.30%,5.90%,5.20%,84.08,0.13%,2812984
19,20,AEG,10.29B,-,7.73,-,-,0.65,2.76,3.38,-213.00%,-3.10%,-20.10%,-2.50%,-,4.79,-2.44%,1361677
20,21,AEM,24.80B,10.02,22.66,-,4.19,1.21,32.89,-,-33.40%,2.27%,8.10%,-6.38%,20.70%,51.0,1.15%,3136496
21,22,AEP,43.70B,21.99,15.12,4.23,2.21,1.84,81.20,-,-9.40%,6.54%,3.30%,5.20%,4.90%,84.93,0.06%,5314597
22,23,AER,14.63B,8.67,6.70,0.84,2.16,0.91,13.44,22.71,-145.00%,4.60%,-19.70%,10.30%,7.10%,61.2,-0.67%,1192506
23,24,AES,14.38B,-,11.11,-,1.11,9.97,6.36,-,-31.80%,11.75%,-2.90%,7.10%,3.70%,21.34,-0.70%,12276062
24,25,AESC,14.28B,-,-,-,1.1,36.47,-,-,-,-,-,-,-,83.04,-0.29%,49825
25,26,AFL,42.15B,10.04,11.39,2.28,2.21,2.14,11.07,17.94,3.10%,4.56%,14.50%,4.40%,-2.10%,69.43,-0.47%,5584958
26,27,AGR,14.98B,21.98,16.67,4.23,1.81,0.77,208.04,-,15.40%,6.18%,67.80%,5.20%,5.80%,38.66,-0.18%,893338
27,28,AIG,40.98B,7.47,7.40,0.51,0.8,0.99,21.31,11.11,20.20%,16.73%,81.60%,14.70%,2.60%,57.3,1.20%,10315800
28,29,AJG,45.76B,39.69,21.74,3.64,5.19,4.63,29.52,30.42,18.60%,11.99%,12.80%,10.90%,6.50%,213.78,0.07%,1553878
29,30,AKAM,14.01B,28.92,14.52,3.61,3.86,3.41,18.64,19.03,-17.00%,9.60%,17.80%,8.00%,7.80%,91.5,-0.62%,3710643
30,31,ALB,27.10B,7.32,10.53,0.15,3.09,2.90,17.08,34.21,5.40%,-6.41%,43.50%,47.94%,19.00%,228.17,-1.19%,2347804
31,32,ALC,39.97B,116.10,26.39,6.93,4.5,2.02,-,-,18.30%,16.20%,7.11%,16.76%,-,81.27,0.47%,929124
32,33,ALGN,25.50B,81.73,33.17,1.89,6.88,7.30,28.84,54.31,-52.40%,19.95%,3.60%,43.25%,20.40%,330.29,-0.87%,1257852
33,34,ALL,29.06B,-,8.60,-,0.55,1.89,43.89,7.26,-130.80%,585.68%,-21.60%,-5.40%,5.40%,111.17,0.57%,3777524
34,35,ALLE,10.46B,21.38,16.62,1.98,3.01,10.00,35.73,36.98,-2.80%,6.77%,8.90%,10.80%,6.30%,118.43,-0.43%,2881474
35,36,ALNY,25.20B,-,-,-,22.04,-,12.17,-,-29.10%,59.90%,-11.40%,-,63.10%,201.57,-0.38%,847459
36,37,AMAT,117.66B,18.32,19.74,1.49,4.42,8.29,23.08,23.41,16.10%,-4.78%,18.00%,12.33%,11.90%,138.93,-0.84%,8842976
37,38,AMCR,15.13B,15.85,13.95,11.83,1.01,3.58,26.82,-,-12.20%,1.92%,1.80%,1.34%,9.80%,10.35,0.68%,19427395
38,39,AMD,200.07B,498.26,28.52,50.48,8.67,3.54,33.69,79.42,-67.30%,47.34%,21.90%,9.87%,35.10%,120.08,-3.35%,81648013
39,40,AME,36.11B,30.20,23.75,3.02,5.74,4.63,90.31,36.37,17.80%,7.48%,14.50%,10.00%,7.40%,155.91,-0.50%,1748880
40,41,AMGN,122.06B,15.60,12.19,9.05,4.66,22.94,3.87,37.24,17.80%,5.76%,2.00%,1.72%,2.90%,229.66,0.53%,6760699
41,42,AMH,12.78B,40.32,72.24,1.41,8.34,1.87,49.98,-,72.50%,-23.20%,60.10%,28.50%,9.20%,35.4,0.28%,4753384
42,43,AMP,33.92B,16.51,9.82,1.55,2.33,8.46,3.97,7.82,-2.10%,9.69%,14.80%,10.66%,3.30%,325.0,-0.18%,936930
43,44,AMT,90.54B,64.23,39.18,6.13,8.37,16.61,50.22,-,-32.60%,22.22%,7.40%,10.48%,10.00%,192.89,-0.71%,3281162
44,45,AMX,70.29B,14.75,11.78,1.22,1.42,3.62,9.00,-,24.20%,11.30%,24.10%,12.07%,-3.70%,22.02,-0.90%,1114980
45,46,AMZN,1304.19B,304.59,48.64,-,2.48,8.32,20.25,-,-108.20%,63.60%,-26.00%,-,23.60%,125.49,-1.27%,83469181
46,47,ANET,50.39B,32.83,23.38,3.29,10.38,9.09,15.13,81.97,62.30%,10.78%,23.30%,9.98%,21.60%,157.79,-3.47%,4497419
47,48,ANSS,29.19B,52.83,34.56,6.37,13.58,6.08,57.47,44.59,16.00%,11.64%,13.60%,8.30%,13.50%,334.37,-0.72%,886679
48,49,AON,67.62B,26.42,20.35,2.90,5.33,-,8.09,27.24,118.80%,12.68%,33.60%,9.10%,4.50%,329.38,-0.51%,1463286
49,50,AOS,10.61B,45.51,19.17,5.69,2.83,5.99,21.39,42.72,-49.90%,6.65%,-6.90%,8.00%,4.60%,71.0,0.69%,1763806
50,51,APA,10.70B,5.56,5.52,-,1.03,24.04,69.47,9.90,325.20%,31.98%,24.40%,-2.00%,13.50%,34.38,-0.84%,9091358
51,52,APD,64.59B,30.14,23.22,3.21,4.92,4.64,25.69,-,10.60%,10.82%,14.30%,9.38%,9.20%,293.17,0.83%,1809753
52,53,APH,48.74B,26.57,25.70,3.56,3.85,6.69,32.52,33.15,22.10%,10.62%,13.10%,7.47%,12.50%,82.15,0.34%,3715840
53,54,APLS,10.43B,-,-,-,98.53,24.66,-,-,30.50%,46.00%,-42.80%,33.30%,-,89.27,-0.37%,2001521
54,55,APO,43.91B,-,9.87,-,3.3,5.58,2.77,5.62,-173.20%,18.55%,-26.50%,3.94%,28.60%,77.08,-0.40%,4105090
55,56,APTV,27.40B,45.55,16.73,1.39,1.51,3.06,24.91,46.44,0.80%,39.20%,-13.30%,32.70%,6.30%,101.44,0.16%,3239850
56,57,ARCC,10.17B,14.71,8.38,-,4.47,1.01,-,-,13.90%,-3.00%,5.28%,-0.90%,-,18.68,0.16%,8978360
57,58,ARE,20.96B,25.36,29.30,-,7.84,1.04,16.59,-,-16.90%,17.26%,15.00%,-10.96%,18.10%,115.45,-4.70%,2916077
58,59,ARES,28.48B,84.01,18.55,3.17,9.03,10.12,27.72,-,-57.30%,35.43%,7.10%,26.50%,15.60%,94.43,-0.88%,1798428
59,60,ARGX,21.99B,-,-,-,36.26,196.85,10.03,-,-63.20%,41.20%,-62.80%,35.00%,62.40%,399.94,0.99%,187463
60,61,ARMK,10.48B,42.89,16.85,1.11,0.59,3.32,34.63,-,286.00%,38.46%,-12.80%,38.61%,2.30%,40.53,0.77%,3285311
61,62,ASML,297.31B,37.87,29.73,1.27,11.14,26.59,40.83,40.47,-1.40%,18.70%,24.20%,29.80%,18.80%,721.88,-2.28%,1336013
62,63,ASX,18.00B,10.65,10.17,-,0.84,2.15,8.07,-,-1.90%,33.80%,21.20%,-3.70%,18.20%,8.85,-1.01%,6981151
63,64,ATO,16.98B,20.10,18.23,2.58,3.72,1.65,178.31,107.85,9.40%,6.26%,9.20%,7.80%,8.80%,117.0,-0.42%,1510044
64,65,ATVI,64.03B,34.88,19.23,2.91,7.86,3.20,5.1,31.36,-44.30%,7.14%,10.10%,12.00%,1.40%,81.97,0.64%,12232423
65,66,AU,10.37B,34.17,-,1.82,2.3,2.48,9.36,185.25,-52.30%,-,28.70%,18.81%,0.00%,24.16,-1.63%,4446923
66,67,AVB,27.05B,26.41,38.01,-,10.19,2.41,106.3,-,13.00%,3.67%,5.10%,-9.83%,3.70%,192.45,1.01%,1635482
67,68,AVGO,364.58B,27.16,19.26,2.56,10.4,16.37,31.56,37.49,76.80%,7.56%,45.80%,10.60%,13.50%,868.11,-1.73%,6824997
